target_name,target_classification,is_background_or_calibration,instrument_name,observation_mode,filter_disperser,wavelength_min_um,wavelength_max_um,exposure_time_s,obs_start_utc,obs_end_utc,calib_level,proposal_id,proposal_type,proposal_pi,obs_title,ra_deg,dec_deg,release_date_utc,obs_id,obsid,product_uri,product_download_url
-RHO01-CNC,Star; G dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,21024.611,2023-03-24T12:20:09,2023-03-24T18:18:24,3,1952,GO,"Hu, Renyu",Determining the Atmospheric Composition of the Super-Earth 55 Cancri e,133.14565237804803,28.329314729069885,2024-03-25T03:53:02,jw01952-o002_t001_miri_p750l-slitlessprism,120865840,mast:JWST/product/jw01952-o002_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01952-o002_t001_miri_p750l-slitlessprism_x1dints.fits
2MASS-J11225550+2550250,Star; Brown dwarfs; T dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,9387.495,2025-04-16T23:52:59,2025-04-17T02:36:53,3,6474,GO,"Pineda, John Sebastian","T-Dwarf auroral physics: atmospheric impact, total power, and energy partition function",170.7233155767129,25.83802075634551,2026-04-17T14:26:22,jw06474-o006_t003_miri_p750l-slitlessprism,254356307,mast:JWST/product/jw06474-o006_t003_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06474-o006_t003_miri_p750l-slitlessprism_x1dints.fits
2MASS-J12373919+6526148,Star; Brown dwarfs; T dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,10842.87,2025-03-03T06:02:02,2025-03-03T09:09:52,3,6474,GO,"Pineda, John Sebastian","T-Dwarf auroral physics: atmospheric impact, total power, and energy partition function",189.39558612702004,65.4333404984463,2026-03-13T05:01:44,jw06474-o005_t001_miri_p750l-slitlessprism,250368351,mast:JWST/product/jw06474-o005_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06474-o005_t001_miri_p750l-slitlessprism_x1dints.fits
2MASSW-J1047539+212423,Star; Brown dwarfs; T dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,8811.77,2025-04-16T20:47:36,2025-04-16T23:21:31,3,6474,GO,"Pineda, John Sebastian","T-Dwarf auroral physics: atmospheric impact, total power, and energy partition function",161.96080978801047,21.402781870741034,2026-04-22T06:04:46,jw06474-o004_t002_miri_p750l-slitlessprism,262816856,mast:JWST/product/jw06474-o004_t002_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06474-o004_t002_miri_p750l-slitlessprism_x1dints.fits
BD+01-316,Star; Exoplanet Systems; Exoplanets,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,28399.296,2025-07-22T00:18:45,2025-07-22T08:19:50,3,6045,GO,"Baeyens, Robin",Detecting ongoing gas-to-solid nucleation on the ultra-hot planet WASP-76 b,26.633063573803557,2.700275728206596,2026-07-22T16:23:30,jw06045-o001_t001_miri_p750l-slitlessprism,298810486,mast:JWST/product/jw06045-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06045-o001_t001_miri_p750l-slitlessprism_x1dints.fits
BD+05-4868,Star; K dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26414.795,2025-10-09T10:53:49,2025-10-11T00:34:41,3,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.8619943667078,6.605622074334224,2026-10-11T11:13:33,jw08739-o001_t001_miri_p750l-slitlessprism,355433102,mast:JWST/product/jw08739-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739-o001_t001_miri_p750l-slitlessprism_x1dints.fits
BD+60-1753,Star; A dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,4888.731,2022-08-08T23:49:30,2022-08-09T01:17:47,3,1536,CAL,"Gordon, Karl D.",Absolute Flux Calibration (A Dwarfs),261.217872319705,60.4307835806149,2022-08-10T19:49:47,jw01536-o028_t008_miri_p750l-slitlessprism,88607928,mast:JWST/product/jw01536-o028_t008_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01536-o028_t008_miri_p750l-slitlessprism_x1dints.fits
BD+60-1753,Star; A dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,3597.326,2024-08-05T10:20:04,2024-08-05T11:26:45,3,6623,CAL,"Sloan, Greg",CAL-MIRI-337 MIRI LRS Dynamic Range Characterization,261.2178818952627,60.43078957054641,2024-08-08T01:32:23,jw06623-o001_t001_miri_p750l-slitlessprism,226985425,mast:JWST/product/jw06623-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06623-o001_t001_miri_p750l-slitlessprism_x1dints.fits
BD+60-1753,Star; A dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,3597.326,2024-08-05T11:42:53,2024-08-05T12:49:38,3,6623,CAL,"Sloan, Greg",CAL-MIRI-337 MIRI LRS Dynamic Range Characterization,261.21788189569656,60.43078957071094,2024-08-08T01:32:24,jw06623-o002_t001_miri_p750l-slitlessprism,226941292,mast:JWST/product/jw06623-o002_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06623-o002_t001_miri_p750l-slitlessprism_x1dints.fits
BD+60-1753,Star; A dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,3597.326,2024-08-05T13:05:42,2024-08-05T14:12:26,3,6623,CAL,"Sloan, Greg",CAL-MIRI-337 MIRI LRS Dynamic Range Characterization,261.2178818961301,60.430789570875326,2024-08-08T01:33:35,jw06623-o003_t001_miri_p750l-slitlessprism,226940704,mast:JWST/product/jw06623-o003_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06623-o003_t001_miri_p750l-slitlessprism_x1dints.fits
