PL_NAME,SPEC_PATH,SPEC_TYPE,BIBCODE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
55 Cnc e,34/62/75/84/55_Cnc_e_3.10924_3696_1.tbl,Transmission,2011A&A...533A.114D,Demory et al. 2011,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455568.0265,2455568.0265,
55 Cnc e,78/51/78/87/55_Cnc_e_3.10924_3673_1.tbl,Transmission,2014ApJ...797L..21D,de Mooij et al. 2014,8,ALFOSC,Nordic Optical Telescope,0.4735,0.656,,,
55 Cnc e,18/43/09/97/55_Cnc_e_3.10924_3750_1.tbl,Transmission,2016ApJ...820...99T,Tsiaras et al. 2016,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,,,
55 Cnc e,94/76/47/41/55_Cnc_e_3.10924_3724_2.tbl,Transmission,2016MNRAS.455.2018D,Demory et al. 2016,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455567.5,2456484.5,
CoRoT-1 b,30/21/22/41/CoRoT_1_b_3.10951_3421_1.tbl,Transmission,2014ApJ...783....5S,Schlawin et al. 2014,10,SpeX and MORIS,Infrared Telescope Facility,0.86,2.312,,,
CoRoT-1 b,02/15/51/07/CoRoT_1_b_3.10951_3622_1.tbl,Transmission,2014ApJ...785..148R,Ranjan et al. 2014,10,WFC3,Hubble Space Telescope satellite,1.144,1.59,,,
CoRoT-1 b,18/94/22/47/CoRoT_1_b_3.10951_5546_2.tbl,Transmission,2022AJ....164...19G,Glidic et al. 2022,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.14,1.596,,,
CoRoT-1 b,99/94/71/13/CoRoT_1_b_3.10951_5219_40.tbl,Transmission,2022ApJS..260....3C,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2
CoRoT-1 b,92/39/84/15/CoRoT_1_b_3.10951_5312_1.tbl,Transmission,2023A&A...675A..62J,Jiang et al. 2023,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,
CoRoT-1 b,70/45/91/25/CoRoT_1_b_3.10951_5286_40.tbl,Transmission,2023ApJS..269...31E,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141
GJ 1132 b,30/14/58/15/GJ_1132_b_3.11819_3971_1.tbl,Transmission,2017AJ....153..191S,Southworth et al. 2017,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.477,0.9134,,,
GJ 1132 b,92/59/94/02/GJ_1132_b_3.11819_3971_2.tbl,Transmission,2017AJ....153..191S,Southworth et al. 2017,2,PISCO,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),0.475,0.775,,,
GJ 1132 b,92/45/68/15/GJ_1132_b_3.11819_4179_1.tbl,Transmission,2018AJ....156...42D,Diamond-Lowe et al. 2018,17,LDSS-3C,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),0.71,1.03,,,
GJ 1132 b,05/45/36/57/GJ_1132_b_3.11819_4749_1.tbl,Transmission,2021AJ....161..213S,Swain et al. 2021,94,Wide Field Camera 3,Hubble Space Telescope satellite,1.13,1.637,,,
GJ 1132 b,77/71/03/31/GJ_1132_b_3.11819_5232_1.tbl,Transmission,2021AJ....161..284M,Mugnai et al. 2021,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Table 4
GJ 1132 b,34/13/28/78/GJ_1132_b_3.11819_5230_1.tbl,Transmission,2022AJ....164...59L,Libby-Roberts et al. 2022,22,WFC3,Hubble Space Telescope satellite,1.161,1.619,,,Table 2
GJ 1132 b,44/19/78/91/GJ_1132_b_3.11819_5292_4.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.794,5.1279,,,Exotic-jedi R100 (Visit 2)
GJ 1132 b,06/67/32/21/GJ_1132_b_3.11819_5292_5.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7663,5.1279,,,Firefly R100 (Visit 1)
GJ 1132 b,53/81/32/91/GJ_1132_b_3.11819_5292_6.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7666,5.1281,,,Firefly R100 (Visit 2)
GJ 1132 b,33/48/32/55/GJ_1132_b_3.11819_5292_1.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7663,5.1278,,,Eureka R100 (Visit 1)
GJ 1132 b,60/10/19/97/GJ_1132_b_3.11819_5292_2.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7668,5.1283,,,Eureka R100 (Visit 2)
GJ 1132 b,48/20/81/70/GJ_1132_b_3.11819_5292_3.tbl,Transmission,2023ApJ...959L...9M,May et al. 2023,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7935,5.1282,,,Exotic-jedi R100 (Visit 1)
GJ 1132 b,32/06/67/57/GJ_1132_b_3.11819_5867_1.tbl,Transmission,2025AJ....170..205B,Bennett et al. 2025,62,Near Infrared Spectrograph (NIRSpec) - G395H,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7653,5.1613,2460000.97654,2460000.97654,"R~100, FIREFLy Reduction, Visit 1, Figure 3"
GJ 1132 b,33/56/32/59/GJ_1132_b_3.11819_5867_2.tbl,Transmission,2025AJ....170..205B,Bennett et al. 2025,62,Near Infrared Spectrograph (NIRSpec) - G395H,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7653,5.1613,2460009.12115,2460009.12115,"R~100, FIREFLy Reduction, Visit 2, Figure 3"
GJ 1132 b,14/19/75/68/GJ_1132_b_3.11819_5867_3.tbl,Transmission,2025AJ....170..205B,Bennett et al. 2025,64,Near Infrared Spectrograph (NIRSpec) - G395M,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7651,5.1636,2460349.56744,2460349.56744,"R~100, FIREFLy Reduction, Visit 3, Figure 3"
GJ 1132 b,03/69/88/69/GJ_1132_b_3.11819_5867_4.tbl,Transmission,2025AJ....170..205B,Bennett et al. 2025,64,Near Infrared Spectrograph (NIRSpec) - G395M,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7651,5.1636,2460466.85035,2460466.85035,"R~100, FIREFLy Reduction, Visit 4, Figure 3"
