set,target_name,instrument,provenance,filters_grating,observation_mode,exposure_time_s,proposal_id,proposal_pi,release_date,obs_id,obsid,calib_level,wavelength_region
JWST,P330-E,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,137.362,7615,"Gordon, Karl D.",2025-08-23,jw07615-o008_t001_nircam_f444w-grismr-subgrism256,311276113,3,INFRARED
JWST,IRAS-05248-7007,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,510.221,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o014_t002_nircam_f444w-grismr-subgrism256,82697558,3,INFRARED
JWST,P330-E,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,107.368,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o002_t001_nircam_f444w-grismr,82463009,3,INFRARED
JWST,IRAS-05248-7007,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,489.456,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o012_t002_nircam_f322w2-grismr-subgrism64,82697549,3,INFRARED
JWST,IRAS-05248-7007,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,540.776,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o010_t002_nircam_f322w2-grismr-subgrism128,82697270,3,INFRARED
JWST,P330-E,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,1073.677,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o001_t001_nircam_f322w2-grismr,82462948,3,INFRARED
JWST,IRAS-05248-7007,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,538.676,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o007_t002_nircam_f322w2-grismr-subgrism256,82684004,3,INFRARED
JWST,IRAS-05248-7007,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,135.194,1076,"Pirzkal, Norbert",2022-07-14,jw01076-o009_t002_nircam_f322w2-grismr-subgrism128,82751731,3,INFRARED
JWST,P330-E,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,137.362,6606,"Gordon, Karl D.",2025-03-03,jw06606-o013_t001_nircam_f444w-grismr-subgrism256,245566027,3,INFRARED
JWST,P330-E,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,56.561,6606,"Gordon, Karl D.",2025-03-03,jw06606-o014_t001_nircam_f322w2-grismr-subgrism256,245565992,3,INFRARED
JWST,P330-E,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,56.561,7615,"Gordon, Karl D.",2025-07-08,jw07615-o009_t001_nircam_f322w2-grismr-subgrism256,298070529,3,INFRARED
JWST,SMP-LMC-58,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,193.262,1480,"Boyer, Martha L.",2023-07-26,jw01480-o011_t001_nircam_f444w-grismr,155665393,3,INFRARED
JWST,SMP-LMC-58,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,193.262,1480,"Boyer, Martha L.",2023-07-26,jw01480-o009_t001_nircam_f322w2-grismr,155665402,3,INFRARED
JWST,GP2-JMAG14-STAR,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,443.061,1068,"Hilbert, Bryan",2022-07-14,jw01068-o007_t004_nircam_f322w2-grismr-subgrism256,83256939,3,INFRARED
JWST,CD-40-11169,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2025-04-15,jw02183-o117_t006_nircam_f322w2-grismr-subgrism128,213234623,3,INFRARED
JWST,GSC-08152-02121,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2024-02-25,jw02183-o033_t011_nircam_f322w2-grismr-subgrism256,117962706,3,INFRARED
JWST,TYC-6272-339-1,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-20,jw02183-o024_t008_nircam_f444w-grismr-subgrism256,93702238,3,INFRARED
JWST,CPR2002-A38,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-17,jw02183-o006_t002_nircam_f444w-grismr-subgrism256,93076305,3,INFRARED
JWST,ALS-15181,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-17,jw02183-o009_t003_nircam_f444w-grismr-subgrism256,93076292,3,INFRARED
JWST,GSC-03157-00327,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-17,jw02183-o012_t004_nircam_f444w-grismr-subgrism256,93076296,3,INFRARED
JWST,CD-40-11169,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2023-09-27,jw02183-o017_t006_nircam_f322w2-grismr-subgrism128,158296406,3,INFRARED
JWST,VI-CYG-1,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-14,jw02183-o003_t001_nircam_f444w-grismr-subgrism256,93018359,3,INFRARED
JWST,GSC-03157-00327,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-17,jw02183-o011_t004_nircam_f322w2-grismr-subgrism256,93076308,3,INFRARED
JWST,VI-CYG-1,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-14,jw02183-o002_t001_nircam_f322w2-grismr-subgrism256,93031130,3,INFRARED
JWST,2MASS-J20452110+4223513,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-01-24,jw02183-o014_t005_nircam_f322w2-grismr-subgrism256,93018361,3,INFRARED
JWST,GSC-08152-02121,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2024-03-03,jw02183-o034_t011_nircam_f444w-grismr-subgrism256,118185623,3,INFRARED
JWST,CD-40-11169,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2024-07-30,jw02183-o018_t006_nircam_f444w-grismr-subgrism128,158296425,3,INFRARED
JWST,TYC-8989-436-1,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2024-06-19,jw02183-o036_t012_nircam_f322w2-grismr-subgrism128,148164573,3,INFRARED
JWST,CPD-59-5831,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2024-02-22,jw02183-o039_t013_nircam_f322w2-grismr-subgrism128,117935780,3,INFRARED
JWST,TYC-7380-1046-1,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2024-03-17,jw02183-o121_t007_nircam_f444w-grismr-subgrism256,118500958,3,INFRARED
JWST,TYC-7380-1046-1,NIRCAM/GRISM,CALJWST,F322W2;GRISMR,NIRCam Grism Time Series,13.519,2183,"Zeegers, Sascha",2023-09-19,jw02183-o020_t007_nircam_f322w2-grismr-subgrism128,93529747,3,INFRARED
JWST,LS-4992,NIRCAM/GRISM,CALJWST,F444W;GRISMR,NIRCam Grism Time Series,26.934,2183,"Zeegers, Sascha",2023-09-20,jw02183-o027_t009_nircam_f444w-grismr-subgrism256,93702230,3,INFRARED
