set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01076002001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,682560,mast:JWST/product/jw01076002001_03103_00001-seg001_nrcalong_x1dints.fits,82463009
JWST,jw01076001001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1537920,mast:JWST/product/jw01076001001_03103_00001-seg001_nrcalong_x1dints.fits,82462948
JWST,jw01076-o001_t001_nircam_f322w2-grismr_whtlt.ecsv,SCIENCE,WHTLT,3,684,mast:JWST/product/jw01076-o001_t001_nircam_f322w2-grismr_whtlt.ecsv,82462948
JWST,jw01076-o001_t001_nircam_f322w2-grismr_x1dints.fits,SCIENCE,X1DINTS,3,1560960,mast:JWST/product/jw01076-o001_t001_nircam_f322w2-grismr_x1dints.fits,82462948
JWST,jw01076-o002_t001_nircam_f444w-grismr_whtlt.ecsv,SCIENCE,WHTLT,3,513,mast:JWST/product/jw01076-o002_t001_nircam_f444w-grismr_whtlt.ecsv,82463009
JWST,jw01076-o002_t001_nircam_f444w-grismr_x1dints.fits,SCIENCE,X1DINTS,3,705600,mast:JWST/product/jw01076-o002_t001_nircam_f444w-grismr_x1dints.fits,82463009
JWST,jw01076007001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,5826240,mast:JWST/product/jw01076007001_03103_00001-seg001_nrcalong_x1dints.fits,82684004
JWST,jw01076-o007_t002_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,1499,mast:JWST/product/jw01076-o007_t002_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,82684004
JWST,jw01076-o007_t002_nircam_f322w2-grismr-subgrism256_x1dints.fits,SCIENCE,X1DINTS,3,5846400,mast:JWST/product/jw01076-o007_t002_nircam_f322w2-grismr-subgrism256_x1dints.fits,82684004
JWST,jw01076009001_03103_00002-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,2969280,mast:JWST/product/jw01076009001_03103_00002-seg001_nrcalong_x1dints.fits,82751731
JWST,jw01076009001_03103_00003-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,2969280,mast:JWST/product/jw01076009001_03103_00003-seg001_nrcalong_x1dints.fits,82751731
JWST,jw01076009001_03103_00004-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,2969280,mast:JWST/product/jw01076009001_03103_00004-seg001_nrcalong_x1dints.fits,82751731
JWST,jw01076009001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,2969280,mast:JWST/product/jw01076009001_03103_00001-seg001_nrcalong_x1dints.fits,82751731
JWST,jw01076010001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,11540160,mast:JWST/product/jw01076010001_03103_00001-seg001_nrcalong_x1dints.fits,82697270
JWST,jw01076012001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,20684160,mast:JWST/product/jw01076012001_03103_00001-seg001_nrcalong_x1dints.fits,82697549
JWST,jw01076014001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,3542400,mast:JWST/product/jw01076014001_03103_00001-seg001_nrcalong_x1dints.fits,82697558
JWST,jw01076-o010_t002_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,SCIENCE,WHTLT,3,2585,mast:JWST/product/jw01076-o010_t002_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,82697270
JWST,jw01076-o010_t002_nircam_f322w2-grismr-subgrism128_x1dints.fits,SCIENCE,X1DINTS,3,11560320,mast:JWST/product/jw01076-o010_t002_nircam_f322w2-grismr-subgrism128_x1dints.fits,82697270
JWST,jw01076-o012_t002_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,4325,mast:JWST/product/jw01076-o012_t002_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,82697549
JWST,jw01076-o012_t002_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,20704320,mast:JWST/product/jw01076-o012_t002_nircam_f322w2-grismr-subgrism64_x1dints.fits,82697549
JWST,jw01076-o014_t002_nircam_f444w-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,1062,mast:JWST/product/jw01076-o014_t002_nircam_f444w-grismr-subgrism256_whtlt.ecsv,82697558
JWST,jw01076-o014_t002_nircam_f444w-grismr-subgrism256_x1dints.fits,SCIENCE,X1DINTS,3,3562560,mast:JWST/product/jw01076-o014_t002_nircam_f444w-grismr-subgrism256_x1dints.fits,82697558
JWST,jw01076-o009_t002_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,SCIENCE,WHTLT,3,2593,mast:JWST/product/jw01076-o009_t002_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,82751731
JWST,jw01076-o009_t002_nircam_f322w2-grismr-subgrism128_x1dints.fits,SCIENCE,X1DINTS,3,11712960,mast:JWST/product/jw01076-o009_t002_nircam_f322w2-grismr-subgrism128_x1dints.fits,82751731
JWST,jw01068007001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,2113920,mast:JWST/product/jw01068007001_03103_00001-seg001_nrcalong_x1dints.fits,83256939
JWST,jw01068-o007_t004_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,781,mast:JWST/product/jw01068-o007_t004_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,83256939
JWST,jw01068-o007_t004_nircam_f322w2-grismr-subgrism256_x1dints.fits,SCIENCE,X1DINTS,3,2136960,mast:JWST/product/jw01068-o007_t004_nircam_f322w2-grismr-subgrism256_x1dints.fits,83256939
JWST,jw01442001001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg003_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg005_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg002_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg004_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg006_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg001_nrcalong_x1dints.fits,87598234
